Right
018_plum X=275.398 Y=11.799 Z=131.597 P=14.090352 Y=19.194960 R=-144.695908
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=33.283073 Y=152.382294 R=149.086899
b_r_thumb1 X=266.042 Y=10.750 Z=29.481 P=52.403717 Y=173.275070 R=-166.411392
b_r_thumb2 X=268.012 Y=10.518 Z=26.904 P=38.140182 Y=172.352219 R=172.481232
b_r_thumb3 X=270.646 Y=10.164 Z=24.817 P=51.646576 Y=146.537567 R=173.280396
r_thumb_finger_tip_marker X=271.919 Y=9.211 Z=22.938 P=51.646584 Y=146.537582 R=173.280396
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=32.807728 Y=-174.379013 R=99.107079
b_r_index2 X=274.966 Y=10.719 Z=29.213 P=61.931896 Y=-167.928314 R=97.718697
b_r_index3 X=276.084 Y=10.958 Z=27.069 P=52.542885 Y=-159.590164 R=100.815147
r_index_finger_tip_marker X=277.435 Y=11.471 Z=25.358 P=52.542885 Y=-159.590118 R=100.815193
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=57.837650 Y=-162.232910 R=90.412086
b_r_middle2 X=273.935 Y=13.287 Z=28.112 P=88.969017 Y=38.905563 R=-71.285263
b_r_middle3 X=273.897 Y=13.256 Z=25.357 P=83.770737 Y=-159.086899 R=81.429138
r_middle_finger_tip_marker X=274.233 Y=13.435 Z=22.887 P=83.770737 Y=-159.087006 R=81.429047
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=62.316360 Y=-160.758163 R=73.507591
b_r_ring2 X=272.775 Y=15.106 Z=27.894 P=79.468178 Y=139.645126 R=7.759160
b_r_ring3 X=273.145 Y=14.791 Z=25.281 P=72.632050 Y=124.348343 R=-8.080809
r_ring_finger_tip_marker X=273.657 Y=14.317 Z=22.945 P=72.632027 Y=124.348343 R=-8.080781
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=67.205574 Y=-172.459534 R=78.786766
b_r_pinky2 X=271.164 Y=16.424 Z=27.799 P=75.029510 Y=-145.786194 R=94.163078
b_r_pinky3 X=271.598 Y=16.719 Z=25.836 P=68.897728 Y=-179.441101 R=62.277718
r_pinky_finger_tip_marker X=272.498 Y=16.762 Z=23.834 P=68.897728 Y=-179.441101 R=62.277710
