Right
005_tomato_soup_can X=281.410 Y=12.161 Z=123.013 P=-37.175240 Y=98.696274 R=-21.765181
b_r_wrist X=275.943 Y=8.146 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=277.950 Y=7.096 Z=30.844 P=30.907997 Y=148.049942 R=145.125443
b_r_thumb1 X=279.759 Y=5.968 Z=29.568 P=49.495106 Y=165.669479 R=-173.233505
b_r_thumb2 X=281.806 Y=5.445 Z=27.096 P=35.658489 Y=169.213547 R=168.626816
b_r_thumb3 X=284.503 Y=4.931 Z=25.126 P=48.462215 Y=147.874817 R=173.523895
r_thumb_finger_tip_marker X=285.883 Y=3.953 Z=23.337 P=48.462212 Y=147.874817 R=173.523880
b_r_index1 X=285.543 Y=5.790 Z=31.268 P=14.779428 Y=178.892166 R=96.788437
b_r_index2 X=289.209 Y=5.719 Z=30.301 P=34.807831 Y=-178.828140 R=91.587494
b_r_index3 X=291.204 Y=5.760 Z=28.913 P=34.331856 Y=-171.946915 R=91.320595
r_index_finger_tip_marker X=293.087 Y=6.054 Z=27.737 P=34.331856 Y=-171.946884 R=91.320618
b_r_middle1 X=285.508 Y=7.972 Z=31.746 P=34.794376 Y=-177.756821 R=87.615623
b_r_middle2 X=289.031 Y=8.110 Z=29.296 P=60.282413 Y=179.711487 R=82.843094
b_r_middle3 X=290.396 Y=8.103 Z=26.903 P=64.340080 Y=174.801682 R=68.154594
r_middle_finger_tip_marker X=291.564 Y=8.069 Z=24.694 P=64.340088 Y=174.801651 R=68.154587
b_r_ring1 X=284.813 Y=9.892 Z=31.347 P=34.337677 Y=-169.727615 R=76.875862
b_r_ring2 X=287.981 Y=10.466 Z=29.147 P=57.563213 Y=174.685760 R=56.991112
b_r_ring3 X=289.401 Y=10.334 Z=26.905 P=60.384682 Y=151.207672 R=35.712765
r_ring_finger_tip_marker X=290.580 Y=9.852 Z=24.826 P=60.384689 Y=151.207687 R=35.712769
b_r_pinky0 X=279.351 Y=10.446 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=283.733 Y=11.651 Z=30.631 P=32.163189 Y=179.183167 R=83.513641
b_r_pinky2 X=286.334 Y=11.614 Z=28.995 P=58.293953 Y=-177.616684 R=73.481903
b_r_pinky3 X=287.400 Y=11.658 Z=27.267 P=57.332207 Y=159.694305 R=54.879021
r_pinky_finger_tip_marker X=288.617 Y=11.261 Z=25.483 P=57.332207 Y=159.694305 R=54.879013
