Left
024_bowl X=280.178 Y=6.816 Z=120.772 P=56.492516 Y=97.398964 R=-5.354255
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=28.374769 Y=-35.865948 R=141.578369
b_r_thumb1 X=258.416 Y=15.095 Z=29.663 P=53.161751 Y=-20.460039 R=-178.180862
b_r_thumb2 X=256.589 Y=15.776 Z=27.061 P=41.531815 Y=11.216793 R=-176.164124
b_r_thumb3 X=254.108 Y=15.284 Z=24.821 P=58.369373 Y=-11.927146 R=-174.862045
r_thumb_finger_tip_marker X=252.821 Y=15.666 Z=22.757 P=58.369373 Y=-11.927127 R=-174.862045
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=75.835152 Y=44.362331 R=130.558319
b_r_index2 X=251.932 Y=14.471 Z=27.591 P=75.600739 Y=149.483719 R=-132.267288
b_r_index3 X=252.452 Y=14.164 Z=25.237 P=71.163803 Y=137.061050 R=-148.370239
r_index_finger_tip_marker X=252.891 Y=13.615 Z=23.111 P=71.163750 Y=137.060959 R=-148.370270
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=71.327522 Y=17.062189 R=90.445267
b_r_middle2 X=251.316 Y=12.534 Z=27.679 P=79.761406 Y=-161.944077 R=-91.427116
b_r_middle3 X=251.782 Y=12.686 Z=24.968 P=70.971313 Y=-153.950790 R=-94.404610
r_middle_finger_tip_marker X=252.436 Y=12.962 Z=22.571 P=70.971313 Y=-153.950745 R=-94.404587
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=76.228920 Y=6.795811 R=59.491779
b_r_ring2 X=252.403 Y=10.908 Z=27.559 P=59.685673 Y=-121.611580 R=-74.791656
b_r_ring3 X=253.106 Y=12.051 Z=25.265 P=46.779957 Y=-116.253693 R=-71.569023
r_ring_finger_tip_marker X=253.768 Y=13.451 Z=23.383 P=46.779953 Y=-116.253677 R=-71.569000
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=80.727234 Y=-131.539459 R=-58.714531
b_r_pinky2 X=254.733 Y=9.630 Z=27.599 P=-5.928085 Y=-151.723694 R=-98.856400
b_r_pinky3 X=256.512 Y=10.587 Z=27.809 P=-48.017822 Y=-129.491928 R=-106.825066
r_pinky_finger_tip_marker X=257.512 Y=11.782 Z=29.356 P=-48.017822 Y=-129.491928 R=-106.825089
