Right
025_mug X=277.841 Y=13.104 Z=115.029 P=4.120974 Y=152.293777 R=62.446285
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000000 Y=179.991653 R=89.999962
b_r_thumb0 X=264.201 Y=11.713 Z=30.844 P=31.693277 Y=149.399200 R=146.355423
b_r_thumb1 X=266.021 Y=10.637 Z=29.539 P=51.843773 Y=168.326645 R=-170.769852
b_r_thumb2 X=267.989 Y=10.231 Z=26.982 P=38.688255 Y=-170.392410 R=-176.819595
b_r_thumb3 X=270.589 Y=10.671 Z=24.870 P=53.101643 Y=-174.282837 R=-160.053864
r_thumb_finger_tip_marker X=272.093 Y=10.701 Z=22.920 P=53.101658 Y=-174.282822 R=-160.053879
b_r_index1 X=271.794 Y=10.407 Z=31.268 P=65.074661 Y=-152.874512 R=112.425056
b_r_index2 X=273.216 Y=11.136 Z=27.829 P=81.563049 Y=-72.659073 R=-175.428284
b_r_index3 X=273.110 Y=11.476 Z=25.425 P=73.516289 Y=-104.893005 R=149.040726
r_index_finger_tip_marker X=273.363 Y=12.143 Z=23.302 P=73.516273 Y=-104.892944 R=149.040787
b_r_middle1 X=271.759 Y=12.589 Z=31.746 P=70.969292 Y=-172.958237 R=87.202766
b_r_middle2 X=273.148 Y=12.761 Z=27.687 P=82.530624 Y=18.744926 R=-83.703880
b_r_middle3 X=272.809 Y=12.646 Z=24.956 P=84.644882 Y=-162.487030 R=86.294800
r_middle_finger_tip_marker X=273.126 Y=12.786 Z=22.481 P=84.644882 Y=-162.487152 R=86.294647
b_r_ring1 X=271.064 Y=14.509 Z=31.347 P=79.637901 Y=145.179459 R=28.728569
b_r_ring2 X=271.640 Y=14.108 Z=27.511 P=11.181033 Y=36.778141 R=-81.927620
b_r_ring3 X=269.552 Y=12.547 Z=26.996 P=-24.498255 Y=39.126793 R=-83.742958
r_ring_finger_tip_marker X=267.777 Y=11.114 Z=27.856 P=-24.498268 Y=39.126823 R=-83.742981
b_r_pinky0 X=265.602 Y=15.063 Z=31.058 P=5.368740 Y=-164.623718 R=66.581589
b_r_pinky1 X=269.985 Y=16.268 Z=30.631 P=84.231827 Y=106.720207 R=5.248831
b_r_pinky2 X=270.073 Y=15.972 Z=27.574 P=3.223685 Y=22.792419 R=-96.263901
b_r_pinky3 X=268.204 Y=15.186 Z=27.460 P=-33.297062 Y=38.412582 R=-98.040321
r_pinky_finger_tip_marker X=266.719 Y=14.000 Z=28.560 P=-33.297058 Y=38.412582 R=-98.040329
