Left
BP_PickupCubeDataset_C_0.StaticMeshComponent0 002_master_chef_can X=272.449 Y=20.847 Z=122.995 P=13.101470 Y=26.099052 R=-125.485870
b_r_wrist X=247.707 Y=3.669 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=245.700 Y=4.719 Z=30.844 P=23.505993 Y=-42.047417 R=136.064667
b_r_thumb1 X=244.008 Y=6.245 Z=29.853 P=41.073635 Y=-30.068024 R=172.719589
b_r_thumb2 X=241.886 Y=7.473 Z=27.717 P=29.633518 Y=-19.215706 R=158.282837
b_r_thumb3 X=239.113 Y=8.440 Z=26.046 P=41.457363 Y=-28.929230 R=172.201675
r_thumb_finger_tip_marker X=237.498 Y=9.438 Z=24.478 P=41.457363 Y=-28.929216 R=172.201675
b_r_index1 X=238.108 Y=6.025 Z=31.268 P=2.862355 Y=5.341318 R=97.341026
b_r_index2 X=234.336 Y=5.673 Z=31.079 P=15.816409 Y=7.365149 R=91.590202
b_r_index3 X=232.017 Y=5.373 Z=30.416 P=81.237999 Y=11.989416 R=89.443817
r_index_finger_tip_marker X=231.591 Y=5.251 Z=28.222 P=81.237999 Y=11.989591 R=89.443993
b_r_middle1 X=238.142 Y=3.843 Z=31.746 P=23.332212 Y=17.119385 R=90.015732
b_r_middle2 X=234.375 Y=2.683 Z=30.045 P=49.320053 Y=16.747818 R=86.927231
b_r_middle3 X=232.656 Y=2.165 Z=27.956 P=73.313400 Y=-112.154976 R=-51.990593
r_middle_finger_tip_marker X=232.844 Y=2.750 Z=25.534 P=73.313370 Y=-112.154907 R=-51.990547
b_r_ring1 X=238.837 Y=1.924 Z=31.347 P=28.110981 Y=26.988796 R=80.533363
b_r_ring2 X=235.772 Y=0.363 Z=29.509 P=53.552715 Y=14.825624 R=63.903580
b_r_ring3 X=234.246 Y=-0.041 Z=27.372 P=51.748188 Y=-112.127464 R=-54.038761
r_ring_finger_tip_marker X=234.702 Y=1.276 Z=25.372 P=51.748169 Y=-112.127419 R=-54.038715
b_r_pinky0 X=244.299 Y=1.370 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=239.917 Y=0.165 Z=30.631 P=18.991238 Y=14.493255 R=87.011009
b_r_pinky2 X=237.104 Y=-0.562 Z=29.631 P=41.969643 Y=19.951052 R=77.880913
b_r_pinky3 X=235.685 Y=-1.078 Z=28.273 P=68.681244 Y=-106.613647 R=-36.523563
r_pinky_finger_tip_marker X=235.791 Y=-0.329 Z=26.211 P=68.681244 Y=-106.613647 R=-36.523579
