Left
014_lemon X=277.557 Y=7.405 Z=126.365 P=18.912786 Y=101.181320 R=-57.129139
b_r_wrist X=286.838 Y=65.351 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=284.831 Y=66.401 Z=30.844 P=31.756943 Y=-30.488132 R=146.458267
b_r_thumb1 X=283.010 Y=67.473 Z=29.536 P=46.708473 Y=-12.696465 R=-171.975662
b_r_thumb2 X=280.835 Y=67.963 Z=27.170 P=33.823208 Y=-1.141397 R=174.604904
b_r_thumb3 X=278.028 Y=68.019 Z=25.289 P=47.935242 Y=-33.261791 R=172.248016
r_thumb_finger_tip_marker X=276.652 Y=69.033 Z=23.517 P=47.935242 Y=-33.261772 R=172.248016
b_r_index1 X=277.239 Y=67.707 Z=31.268 P=38.813568 Y=-4.974457 R=97.896286
b_r_index2 X=274.295 Y=67.964 Z=28.891 P=62.385803 Y=0.060088 R=95.652100
b_r_index3 X=273.168 Y=67.962 Z=26.737 P=54.089180 Y=9.324716 R=99.584732
r_index_finger_tip_marker X=271.791 Y=67.724 Z=24.988 P=54.089184 Y=9.324767 R=99.584770
b_r_middle1 X=277.273 Y=65.525 Z=31.746 P=61.484104 Y=8.081377 R=88.062363
b_r_middle2 X=275.244 Y=65.237 Z=27.974 P=87.836159 Y=-24.191763 R=53.210323
b_r_middle3 X=275.149 Y=65.279 Z=25.221 P=78.416527 Y=10.387242 R=78.634369
r_middle_finger_tip_marker X=274.564 Y=65.119 Z=22.796 P=78.416534 Y=10.387176 R=78.634300
b_r_ring1 X=277.968 Y=63.606 Z=31.347 P=62.671967 Y=5.246363 R=68.910942
b_r_ring2 X=276.186 Y=63.442 Z=27.883 P=77.737854 Y=-63.015129 R=-5.007196
b_r_ring3 X=275.929 Y=63.945 Z=25.286 P=69.917076 Y=-76.880302 R=-19.352295
r_ring_finger_tip_marker X=275.617 Y=64.655 Z=22.974 P=69.917030 Y=-76.880257 R=-19.352251
b_r_pinky0 X=283.430 Y=63.052 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=279.048 Y=61.847 Z=30.631 P=68.930817 Y=-10.921919 R=72.164772
b_r_pinky2 X=277.963 Y=62.056 Z=27.764 P=87.040367 Y=9.309790 R=81.020782
b_r_pinky3 X=277.860 Y=62.039 Z=25.736 P=76.504425 Y=-42.323536 R=29.902464
r_pinky_finger_tip_marker X=277.360 Y=62.368 Z=23.623 P=76.504425 Y=-42.323536 R=29.902460
