Left
010_potted_meat_can X=273.554 Y=17.249 Z=119.444 P=21.874588 Y=131.021988 R=31.485415
b_r_wrist X=275.881 Y=60.835 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=273.874 Y=61.885 Z=30.844 P=25.226448 Y=-40.025173 R=137.854996
b_r_thumb1 X=272.153 Y=63.331 Z=29.785 P=53.429989 Y=-28.373381 R=175.311951
b_r_thumb2 X=270.448 Y=64.252 Z=27.174 P=36.489281 Y=-32.016663 R=152.668228
b_r_thumb3 X=268.145 Y=65.692 Z=25.164 P=46.382610 Y=-48.666973 R=161.093430
r_thumb_finger_tip_marker X=267.035 Y=67.068 Z=23.451 P=46.382629 Y=-48.666969 R=161.093430
b_r_index1 X=266.282 Y=63.192 Z=31.268 P=28.253077 Y=13.900239 R=99.874733
b_r_index2 X=263.039 Y=62.389 Z=29.473 P=50.201126 Y=18.656940 R=96.740639
b_r_index3 X=261.565 Y=61.891 Z=27.606 P=66.128113 Y=-175.046188 R=-105.381752
r_index_finger_tip_marker X=262.389 Y=61.907 Z=25.524 P=66.128075 Y=-175.046234 R=-105.381790
b_r_middle1 X=266.317 Y=61.009 Z=31.746 P=49.281113 Y=10.807837 R=88.935280
b_r_middle2 X=263.566 Y=60.484 Z=28.492 P=80.841263 Y=-155.395691 R=-79.580048
b_r_middle3 X=263.965 Y=60.667 Z=25.772 P=80.982422 Y=-150.271149 R=-84.426392
r_middle_finger_tip_marker X=264.215 Y=60.787 Z=23.288 P=80.982353 Y=-150.271011 R=-84.426239
b_r_ring1 X=267.012 Y=59.090 Z=31.347 P=55.223354 Y=10.188527 R=73.098923
b_r_ring2 X=264.822 Y=58.697 Z=28.144 P=68.894012 Y=-110.161346 R=-50.463242
b_r_ring3 X=265.152 Y=59.595 Z=25.665 P=55.468418 Y=-113.765747 R=-54.775978
r_ring_finger_tip_marker X=265.594 Y=60.775 Z=23.578 P=55.468430 Y=-113.765739 R=-54.775974
b_r_pinky0 X=272.474 Y=58.536 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=268.091 Y=57.331 Z=30.631 P=80.425140 Y=-24.939472 R=53.401085
b_r_pinky2 X=267.628 Y=57.546 Z=27.601 P=-0.304756 Y=-155.561859 R=-95.243279
b_r_pinky3 X=269.477 Y=58.387 Z=27.612 P=-57.047180 Y=-134.576019 R=-102.966354
r_pinky_finger_tip_marker X=270.389 Y=59.308 Z=29.384 P=-57.047180 Y=-134.576004 R=-102.966370
