Left
024_bowl X=285.322 Y=5.700 Z=126.153 P=14.776772 Y=53.147438 R=-101.837196
b_r_wrist X=262.194 Y=12.763 Z=32.000 P=0.000014 Y=-0.008326 R=90.000008
b_r_thumb0 X=260.188 Y=13.813 Z=30.844 P=28.463575 Y=-35.738380 R=141.693344
b_r_thumb1 X=258.414 Y=15.090 Z=29.660 P=36.362480 Y=-20.688698 R=-179.778000
b_r_thumb2 X=255.965 Y=16.014 Z=27.732 P=26.907700 Y=2.301815 R=170.944626
b_r_thumb3 X=252.954 Y=15.893 Z=26.203 P=40.858063 Y=-14.066907 R=-178.891312
r_thumb_finger_tip_marker X=251.134 Y=16.457 Z=24.643 P=40.858063 Y=-14.066894 R=-178.891312
b_r_index1 X=252.595 Y=15.120 Z=31.268 P=65.051590 Y=23.880421 R=111.566917
b_r_index2 X=251.132 Y=14.472 Z=27.829 P=72.020615 Y=164.365707 R=-117.014877
b_r_index3 X=251.855 Y=14.270 Z=25.518 P=61.789871 Y=163.549393 R=-122.200523
r_index_finger_tip_marker X=252.786 Y=13.912 Z=23.513 P=61.789848 Y=163.549347 R=-122.200546
b_r_middle1 X=252.630 Y=12.937 Z=31.746 P=72.836472 Y=15.430978 R=89.914658
b_r_middle2 X=251.409 Y=12.600 Z=27.644 P=67.082863 Y=-162.044724 R=-90.429337
b_r_middle3 X=252.429 Y=12.931 Z=25.106 P=65.301712 Y=-159.321762 R=-98.035667
r_middle_finger_tip_marker X=253.330 Y=13.221 Z=22.793 P=65.301727 Y=-159.321716 R=-98.035629
b_r_ring1 X=253.325 Y=11.018 Z=31.347 P=74.750252 Y=0.450155 R=57.992065
b_r_ring2 X=252.299 Y=11.010 Z=27.585 P=55.612053 Y=-126.713387 R=-74.326859
b_r_ring3 X=253.196 Y=12.213 Z=25.392 P=32.875755 Y=-125.592941 R=-74.810234
r_ring_finger_tip_marker X=254.320 Y=13.813 Z=23.935 P=32.875748 Y=-125.592926 R=-74.810211
b_r_pinky0 X=258.787 Y=10.464 Z=31.058 P=5.368747 Y=15.376284 R=66.581619
b_r_pinky1 X=254.404 Y=9.259 Z=30.631 P=47.400074 Y=2.338328 R=82.196785
b_r_pinky2 X=252.327 Y=9.174 Z=28.369 P=57.105957 Y=-148.873459 R=-81.968384
b_r_pinky3 X=253.271 Y=9.745 Z=26.664 P=34.727726 Y=-139.590668 R=-73.634941
r_pinky_finger_tip_marker X=254.558 Y=10.916 Z=25.325 P=34.727726 Y=-139.590668 R=-73.634956
